,recoveries,total_rec_late_fee,total_rec_prncp,delinq_2yrs,fico_range_high,total_pymnt,loan_status_Fully Paid,loan_status_Late
0,0.0,0.0,6500.0,0.0,679,6786.02,1,0
1,0.0,0.0,924.75,0.0,699,1105.76,1,0
2,0.0,0.0,20000.0,0.0,694,22974.52785,1,0
4,0.0,28.92,18097.94,0.0,669,28350.71,1,0
5,0.0,0.0,4208.19,0.0,724,6826.83,1,0
6,0.0,0.0,2500.0,11.0,674,3010.33597,1,0
7,0.0,0.0,9600.0,0.0,799,10808.07406,1,0
8,0.0,0.0,12000.0,0.0,714,12729.02,1,0
9,0.0,0.0,2917.43,2.0,709,4113.48,1,0
10,0.0,0.0,6312.69,0.0,704,7520.26,1,0
11,0.0,0.0,10000.0,0.0,699,10263.7,1,0
12,0.0,33.55,20000.0,1.0,664,24221.6751,1,0
14,0.0,0.0,2203.15,1.0,739,2682.07,1,0
16,0.0,0.0,21600.0,0.0,724,24993.27999,1,0
17,0.0,0.0,970.51,0.0,689,1189.24,1,0
18,0.0,0.0,10000.0,0.0,674,11258.72686,1,0
20,0.0,0.0,12000.0,0.0,739,12889.25381,1,0
21,0.0,0.0,8000.0,0.0,664,8040.76,1,0
22,0.0,0.0,3410.11,0.0,724,4043.72,1,0
23,0.0,0.0,5730.52,0.0,789,6693.14,1,0
25,0.0,0.0,8000.0,0.0,674,9606.78,1,0
28,0.0,0.0,14500.0,0.0,714,15887.33186,1,0
29,0.0,0.0,8500.0,0.0,769,8966.713616,1,0
30,0.0,0.0,5001.75,0.0,729,8149.72,1,0
31,0.0,0.0,15750.0,0.0,729,17382.01797,1,0
32,0.0,0.0,5600.0,0.0,669,6170.36,1,0
36,0.0,0.0,22000.0,0.0,774,24104.91382,1,0
37,0.0,0.0,1939.74,0.0,754,2364.59,1,0
38,0.0,0.0,14500.0,0.0,669,15500.89792,1,0
39,0.0,0.0,89.69,0.0,674,152.85,0,1
40,0.0,0.0,9000.0,0.0,689,9974.310005,1,0
41,0.0,0.0,525.1,0.0,664,1432.95,1,0
42,0.0,0.0,7782.49,0.0,724,13479.46,1,0
45,1006.19,0.0,2045.0,0.0,664,6453.9,0,1
46,2313.03,0.0,4475.73,1.0,669,8743.0,0,1
47,0.0,0.0,4669.54,0.0,719,5545.35,1,0
48,0.0,0.0,24000.0,0.0,749,25848.85146,1,0
49,0.0,0.0,1669.8,0.0,724,2849.01,1,0
50,0.0,0.0,1465.69,0.0,664,2057.78,1,0
51,0.0,0.0,3786.98,0.0,694,5906.85,1,0
52,0.0,0.0,21000.0,1.0,664,27804.02501,1,0
53,0.0,0.0,12000.0,1.0,684,13901.41505,1,0
54,0.0,0.0,21085.24,0.0,754,24881.01,1,0
56,0.0,0.0,24000.0,1.0,729,26230.48631,1,0
57,0.0,0.0,2676.75,0.0,734,5221.86,1,0
58,0.0,0.0,1245.14,0.0,674,2561.84,0,1
59,0.0,0.0,2148.63,0.0,684,2916.72,1,0
61,0.0,0.0,13000.0,0.0,689,13817.96367,1,0
62,0.0,0.0,3854.38,0.0,664,5306.12,1,0
63,2439.19,0.0,987.8,0.0,689,5050.43,0,1
64,0.0,0.0,13697.31,0.0,669,24604.6,1,0
66,0.0,0.0,3000.0,3.0,669,3583.287182,1,0
67,0.0,0.0,6499.89,0.0,719,7558.89,1,0
68,0.0,0.0,10500.0,0.0,724,13672.56631,1,0
69,0.0,0.0,4974.94,0.0,734,6434.98,1,0
70,0.0,0.0,6500.0,0.0,679,7808.13106,1,0
71,0.0,0.0,4000.0,0.0,709,4396.392279,1,0
75,0.0,47.17,3738.09,1.0,689,4750.54,0,1
76,0.0,0.0,11200.0,0.0,679,14386.86816,1,0
78,0.0,0.0,31275.0,0.0,734,31751.41455,1,0
79,0.0,0.0,2606.04,0.0,679,5667.43,1,0
81,0.0,0.0,6000.0,0.0,679,7019.680958,1,0
82,0.0,0.0,12900.0,1.0,669,14057.79,1,0
84,0.0,0.0,5000.0,0.0,724,5520.480654,1,0
86,0.0,0.0,20000.0,0.0,744,25559.40481,1,0
87,0.0,0.0,13740.27,0.0,689,17138.8,1,0
88,0.0,26.84,15000.0,2.0,664,19039.99695,1,0
